Gene name	Gene ID	Transcript ID	CCDS ID	APPRIS Annotation	MANE
SLC45A3	85414	NM_033102.3	CCDS1458.1	PRINCIPAL:1	MANE Select
RHOC	389	NM_175744.5	CCDS854.1	PRINCIPAL:1	MANE Select
LGR6	59352	NM_001017403.2	CCDS30971.1	PRINCIPAL:1	MANE Select
HS2ST1	9653	NM_012262.4	CCDS711.1	PRINCIPAL:1	MANE Select
MARK1	4139	NM_018650.5	CCDS31029.2	PRINCIPAL:4	MANE Select
GPR37L1	9283	NM_004767.5	CCDS1420.1	PRINCIPAL:1	MANE Select
LCE1B	353132	NM_178349.2	CCDS1027.1	PRINCIPAL:1	MANE Select
AHDC1	27245	NM_001371928.1	-	PRINCIPAL:1	MANE Select
P3R3URF	110117498	NM_001328655.2	CCDS85970.1	PRINCIPAL:1	MANE Select
ARF1	375	NM_001658.4	CCDS1565.1	PRINCIPAL:1	MANE Select
DCAF8	50717	NM_015726.4	CCDS1200.1	PRINCIPAL:1	MANE Select
ANGPTL3	27329	NM_014495.4	CCDS622.1	PRINCIPAL:1	MANE Select
NHLH2	4808	NM_005599.3	CCDS885.1	PRINCIPAL:1	MANE Select
WNT3A	89780	NM_033131.4	CCDS1564.1	PRINCIPAL:1	MANE Select
CAPN2	824	NM_001748.5	CCDS31035.1	PRINCIPAL:1	MANE Select
SMCP	4184	NM_030663.3	CCDS1029.1	PRINCIPAL:1	MANE Select
PTCH2	8643	NM_003738.5	CCDS516.1	PRINCIPAL:2	MANE Select
OR10X1	128367	NM_001004477.1	-	PRINCIPAL:1	MANE Select
LRIG2	9860	NM_014813.3	CCDS30808.1	PRINCIPAL:1	MANE Select
ST6GALNAC5	81849	NM_030965.3	CCDS673.1	PRINCIPAL:1	MANE Select
MAN1C1	57134	NM_020379.4	CCDS265.1	PRINCIPAL:1	MANE Select
PTP4A2	8073	NM_080391.4	CCDS348.1	PRINCIPAL:1	MANE Select
C1orf159	54991	NM_017891.5	CCDS7.2	PRINCIPAL:1	MANE Select
CA14	23632	NM_012113.3	CCDS947.1	PRINCIPAL:4	MANE Select
ADSS2	159	NM_001126.5	CCDS1624.1	PRINCIPAL:2	MANE Select
OR2W3	343171	NM_001001957.2	CCDS31099.1	PRINCIPAL:1	MANE Select
MAGOH	4116	NM_002370.4	CCDS577.1	PRINCIPAL:1	MANE Select
SRP9	6726	NM_003133.6	CCDS1546.1	PRINCIPAL:1	MANE Select
IL12RB2	3595	NM_001374259.2	-	PRINCIPAL:1	MANE Select
GORAB	92344	NM_152281.3	CCDS1289.1	PRINCIPAL:1	MANE Select
SLC6A9	6536	NM_001024845.3	CCDS30695.1	PRINCIPAL:1	MANE Select
ERICH3	127254	NM_001002912.5	CCDS30755.1	PRINCIPAL:2	MANE Select
DIPK1A	388650	NM_001006605.5	CCDS44173.1	PRINCIPAL:1	MANE Select
TMOD4	29765	NM_013353.3	CCDS988.1	PRINCIPAL:1	MANE Select
TNNI3K	51086	NM_015978.3	CCDS664.1	PRINCIPAL:1	MANE Select
TOMM40L	84134	NM_032174.6	CCDS1227.1	PRINCIPAL:1	MANE Select
VSIG8	391123	NM_001013661.1	CCDS30913.1	PRINCIPAL:1	MANE Select
MYOC	4653	NM_000261.2	CCDS1297.1	PRINCIPAL:1	MANE Select
EFCAB2	84288	NM_032328.4	CCDS31082.1	PRINCIPAL:1	MANE Select
INPP5B	3633	NM_005540.3	CCDS41306.1	PRINCIPAL:2	MANE Select
RAB7B	338382	NM_001164522.3	CCDS73011.1	PRINCIPAL:1	MANE Select
FPGT	8790	NM_003838.5	CCDS663.2	PRINCIPAL:1	MANE Select
H2AC21	317772	NM_175065.3	CCDS938.1	PRINCIPAL:1	MANE Select
SERPINC1	462	NM_000488.4	CCDS1313.1	PRINCIPAL:1	MANE Select
KIFAP3	22920	NM_014970.4	CCDS1288.1	PRINCIPAL:1	MANE Select
EPHX4	253152	NM_173567.5	CCDS736.1	PRINCIPAL:1	MANE Select
LRRC39	127495	NM_144620.4	CCDS766.1	PRINCIPAL:1	MANE Select
PLA2G2A	5320	NM_001395463.1	-	PRINCIPAL:1	MANE Select
FBLIM1	54751	NM_017556.4	CCDS163.1	PRINCIPAL:1	MANE Select
CNKSR1	10256	NM_006314.3	CCDS276.1	PRINCIPAL:1	MANE Select
VAMP4	8674	NM_003762.5	CCDS1298.1	PRINCIPAL:2	MANE Select
KCNT2	343450	NM_198503.5	CCDS1384.1	PRINCIPAL:4	MANE Select
CTSK	1513	NM_000396.4	CCDS969.1	PRINCIPAL:1	MANE Select
ATP1A2	477	NM_000702.4	CCDS1196.1	PRINCIPAL:1	MANE Select
CCDC185	164127	NM_152610.3	CCDS1537.1	PRINCIPAL:1	MANE Select
AADACL3	126767	NM_001103170.3	CCDS41253.2	PRINCIPAL:1	MANE Select
TTF2	8458	NM_003594.4	CCDS892.1	PRINCIPAL:2	MANE Select
TMEM69	51249	NM_016486.4	CCDS41325.1	PRINCIPAL:1	MANE Select
ZBTB8OS	339487	NM_178547.5	CCDS365.1	PRINCIPAL:1	MANE Select
COP1	64326	NM_022457.7	CCDS30944.1	PRINCIPAL:4	MANE Select
CTNNBIP1	56998	NM_020248.3	CCDS106.1	PRINCIPAL:1	MANE Select
CAMTA1	23261	NM_015215.4	CCDS30576.1	PRINCIPAL:4	MANE Select
GRHL3	57822	NM_198173.3	CCDS44088.1	PRINCIPAL:1	MANE Select
RPL11	6135	NM_000975.5	CCDS238.1	PRINCIPAL:4	MANE Select
SPRR1B	6699	NM_003125.3	CCDS30863.1	PRINCIPAL:1	MANE Select
GSTM1	2944	NM_000561.4	CCDS809.1	PRINCIPAL:1	MANE Select
SLAMF7	57823	NM_021181.5	CCDS1209.1	PRINCIPAL:2	MANE Select
PIGK	10026	NM_005482.3	CCDS674.1	PRINCIPAL:1	MANE Select
ASCL5	647219	NM_001270601.2	CCDS59202.1	PRINCIPAL:1	MANE Select
PRAMEF19	645414	NM_001099790.5	-	PRINCIPAL:1	MANE Select
OR2G6	391211	NM_001013355.2	CCDS31119.1	PRINCIPAL:1	MANE Select
DRAXIN	374946	NM_198545.4	CCDS135.1	PRINCIPAL:1	MANE Select
APCS	325	NM_001639.4	CCDS1186.1	PRINCIPAL:1	MANE Select
DIRAS3	9077	NM_004675.5	CCDS641.1	PRINCIPAL:1	MANE Select
DMBX1	127343	NM_172225.2	CCDS536.1	PRINCIPAL:4	MANE Select
CD5L	922	NM_005894.3	CCDS1171.1	PRINCIPAL:2	MANE Select
RAB42	115273	NM_001193532.3	CCDS85943.1	PRINCIPAL:1	MANE Select
PGBD5	79605	NM_001258311.2	CCDS81430.1	PRINCIPAL:1	MANE Select
TEX38	374973	NM_001145474.4	CCDS57999.1	PRINCIPAL:1	MANE Select
DR1	1810	NM_001938.3	CCDS744.1	PRINCIPAL:1	MANE Select
NOTCH2NLC	100996717	NM_001364013.2	-	PRINCIPAL:2	MANE Select
ZMYND12	84217	NM_032257.5	CCDS467.1	PRINCIPAL:1	MANE Select
LEFTY1	10637	NM_020997.4	CCDS1548.1	PRINCIPAL:1	MANE Select
FBXO44	93611	NM_033182.7	CCDS132.1	PRINCIPAL:1	MANE Select
OVGP1	5016	NM_002557.4	CCDS834.1	PRINCIPAL:1	MANE Select
CFAP45	25790	NM_012337.3	CCDS30914.1	PRINCIPAL:1	MANE Select
MACO1	55219	NM_018202.6	CCDS30638.1	PRINCIPAL:1	MANE Select
USP24	23358	NM_015306.3	CCDS44154.2	PRINCIPAL:4	MANE Select
PRAMEF18	391003	NM_001099850.2	CCDS41258.2	PRINCIPAL:1	MANE Select
MROH7	374977	NM_001039464.4	CCDS41342.2	PRINCIPAL:2	MANE Select
PLA2G2F	64600	NM_022819.4	CCDS204.2	PRINCIPAL:1	MANE Select
SPRR2D	6703	NM_006945.5	CCDS30864.1	PRINCIPAL:1	MANE Select
CLCA4	22802	NM_012128.4	CCDS41355.1	PRINCIPAL:1	MANE Select
ZBTB37	84614	NM_001122770.3	CCDS44278.1	PRINCIPAL:1	MANE Select
ECHDC2	55268	NM_001198961.2	CCDS55600.1	PRINCIPAL:1	MANE Select
CPTP	80772	NM_001029885.2	CCDS30555.1	PRINCIPAL:1	MANE Select
CDKN2C	1031	NM_078626.3	CCDS555.1	PRINCIPAL:1	MANE Select
MRPL9	65005	NM_031420.4	CCDS1003.1	PRINCIPAL:1	MANE Select
SMAP2	64744	NM_022733.3	CCDS451.1	PRINCIPAL:1	MANE Select
PTPN7	5778	NM_002832.4	CCDS1423.2	PRINCIPAL:2	MANE Select
OR2T12	127064	NM_001004692.2	CCDS31110.1	PRINCIPAL:1	MANE Select
POU3F1	5453	NM_002699.4	CCDS30679.1	PRINCIPAL:1	MANE Select
RRAGC	64121	NM_022157.4	CCDS430.1	PRINCIPAL:1	MANE Select
ANKRD65	441869	NM_001145210.3	CCDS55558.1	PRINCIPAL:1	MANE Select
DHCR24	1718	NM_014762.4	CCDS600.1	PRINCIPAL:1	MANE Select
AMY2A	279	NM_000699.4	CCDS783.1	PRINCIPAL:1	MANE Select
TMEM275	105378696	NM_001396071.1	-	PRINCIPAL:1	MANE Select
DPH2	1802	NM_001384.5	CCDS504.1	PRINCIPAL:1	MANE Select
PLPPR5	163404	NM_001037317.2	CCDS30778.1	PRINCIPAL:4	MANE Select
ANKRD45	339416	NM_198493.3	CCDS1309.1	PRINCIPAL:2	MANE Select
CDK11B	984	NM_033486.3	CCDS72684.1	PRINCIPAL:1	MANE Select
LSM10	84967	NM_032881.3	CCDS408.1	PRINCIPAL:1	MANE Select
HAPLN2	60484	NM_021817.3	CCDS1148.1	PRINCIPAL:1	MANE Select
HP1BP3	50809	NM_001372052.1	-	PRINCIPAL:4	MANE Select
OPRD1	4985	NM_000911.4	CCDS329.1	PRINCIPAL:1	MANE Select
GGPS1	9453	NM_004837.4	-	PRINCIPAL:1	MANE Select
CD1D	912	NM_001371762.2	-	PRINCIPAL:1	MANE Select
PTGFR	5737	NM_000959.4	CCDS686.1	PRINCIPAL:1	MANE Select
OTUD7B	56957	NM_020205.4	CCDS72903.1	PRINCIPAL:1	MANE Select
RNF223	401934	NM_001205252.2	CCDS53257.1	PRINCIPAL:1	MANE Select
ZNF648	127665	NM_001009992.1	CCDS30952.1	PRINCIPAL:1	MANE Select
PIGC	5279	NM_153747.2	CCDS1302.1	PRINCIPAL:1	MANE Select
RAD54L	8438	NM_003579.4	CCDS532.1	PRINCIPAL:1	MANE Select
CFAP57	149465	NM_001378189.1	-	PRINCIPAL:2	MANE Select
LMX1A	4009	NM_177398.4	CCDS1247.1	PRINCIPAL:1	MANE Select
RGS21	431704	NM_001039152.3	CCDS41448.1	PRINCIPAL:1	MANE Select
DCST1	149095	NM_152494.4	CCDS1083.1	PRINCIPAL:2	MANE Select
RAB25	57111	NM_020387.4	CCDS41413.1	PRINCIPAL:1	MANE Select
TRIM62	55223	NM_018207.3	CCDS376.1	PRINCIPAL:1	MANE Select
EIF3I	8668	NM_003757.4	CCDS357.1	PRINCIPAL:1	MANE Select
MAB21L3	126868	NM_152367.3	CCDS886.1	PRINCIPAL:1	MANE Select
S100A6	6277	NM_014624.4	CCDS1040.1	PRINCIPAL:1	MANE Select
OR2T11	127077	NM_001001964.2	-	PRINCIPAL:1	MANE Select
LAMC1	3915	NM_002293.4	CCDS1351.1	PRINCIPAL:1	MANE Select
NOL9	79707	NM_024654.5	CCDS80.1	PRINCIPAL:1	MANE Select
KLHDC8A	55220	NM_018203.3	CCDS30985.1	PRINCIPAL:1	MANE Select
DTL	51514	NM_016448.4	CCDS1502.1	PRINCIPAL:1	MANE Select
TNFRSF9	3604	NM_001561.6	CCDS92.1	PRINCIPAL:2	MANE Select
SHISA4	149345	NM_198149.3	CCDS1416.1	PRINCIPAL:1	MANE Select
ACAP3	116983	NM_030649.3	CCDS19.2	PRINCIPAL:1	MANE Select
ILF2	3608	NM_004515.4	CCDS1050.1	PRINCIPAL:1	MANE Select
HSPA6	3310	NM_002155.5	CCDS1231.1	PRINCIPAL:1	MANE Select
SCCPDH	51097	NM_016002.3	CCDS31084.1	PRINCIPAL:1	MANE Select
KAZN	23254	NM_201628.3	CCDS152.2	PRINCIPAL:1	MANE Select
ITPKB	3707	NM_002221.4	CCDS1555.1	PRINCIPAL:1	MANE Select
BLACAT1	101669762	NM_001397426.2	-	PRINCIPAL:1	MANE Select
ENSA	2029	NM_004436.4	CCDS958.1	PRINCIPAL:4	MANE Select
MED18	54797	NM_017638.3	CCDS322.1	PRINCIPAL:1	MANE Select
AKR7A3	22977	NM_012067.3	CCDS193.1	PRINCIPAL:1	MANE Select
B3GALT2	8707	NM_003783.3	CCDS1383.1	PRINCIPAL:1	MANE Select
EPRS1	2058	NM_004446.3	CCDS31027.1	PRINCIPAL:1	MANE Select
ZMPSTE24	10269	NM_005857.5	CCDS449.1	PRINCIPAL:1	MANE Select
TAF1A	9015	NM_005681.4	CCDS1531.1	PRINCIPAL:1	MANE Select
GPX7	2882	NM_015696.5	CCDS569.1	PRINCIPAL:1	MANE Select
PROK1	84432	NM_032414.3	CCDS825.1	PRINCIPAL:1	MANE Select
ANKRD34A	284615	NM_001039888.4	CCDS72874.1	PRINCIPAL:1	MANE Select
HNRNPCL2	440563	NM_001136561.3	CCDS76105.1	PRINCIPAL:1	MANE Select
OR14L1P	127617	NM_001396106.1	-	PRINCIPAL:1	MANE Select
NDC1	55706	NM_018087.5	CCDS583.1	PRINCIPAL:1	MANE Select
FNDC10	643988	NM_001242659.2	CCDS55559.1	PRINCIPAL:1	MANE Select
BCL9	607	NM_004326.4	CCDS30833.1	PRINCIPAL:1	MANE Select
RTCA	8634	NM_003729.4	CCDS768.1	PRINCIPAL:1	MANE Select
OXCT2	64064	NM_022120.2	CCDS445.1	PRINCIPAL:1	MANE Select
MGST3	4259	NM_004528.4	CCDS1249.1	PRINCIPAL:1	MANE Select
KIF14	9928	NM_014875.3	CCDS30963.1	PRINCIPAL:2	MANE Select
OR6N2	81442	NM_001005278.2	CCDS30906.1	PRINCIPAL:1	MANE Select
CSF3R	1441	NM_000760.4	CCDS413.1	PRINCIPAL:4	MANE Select
PEX19	5824	NM_002857.4	CCDS1201.1	PRINCIPAL:1	MANE Select
PLA2G5	5322	NM_000929.3	CCDS202.1	PRINCIPAL:1	MANE Select
SNAP47	116841	NM_053052.4	CCDS1562.1	PRINCIPAL:1	MANE Select
TOR3A	64222	NM_022371.4	CCDS1329.1	PRINCIPAL:1	MANE Select
SPRR2F	6705	NM_001014450.3	CCDS30867.1	PRINCIPAL:1	MANE Select
MYCL	4610	NM_001033081.3	CCDS30682.1	PRINCIPAL:4	MANE Select
HORMAD1	84072	NM_032132.5	CCDS967.1	PRINCIPAL:1	MANE Select
SLC66A1	54896	NM_001040125.2	CCDS195.2	PRINCIPAL:1	MANE Select
GPN2	54707	NM_018066.4	CCDS289.1	PRINCIPAL:1	MANE Select
HFM1	164045	NM_001017975.6	CCDS30769.2	PRINCIPAL:1	MANE Select
PRPF38B	55119	NM_018061.4	CCDS788.1	PRINCIPAL:1	MANE Select
CCDC28B	79140	NM_024296.5	CCDS354.2	PRINCIPAL:1	MANE Select
CFAP126	257177	NM_001013625.4	CCDS30921.1	PRINCIPAL:1	MANE Select
OLFML2B	25903	NM_015441.3	CCDS1236.1	PRINCIPAL:4	MANE Select
FMO3	2328	NM_001002294.3	CCDS1292.1	PRINCIPAL:1	MANE Select
SMYD3	64754	NM_001167740.2	CCDS53486.1	PRINCIPAL:1	MANE Select
TMEM183A	92703	NM_138391.6	CCDS1432.1	PRINCIPAL:4	MANE Select
ACBD3	64746	NM_022735.4	CCDS1551.1	PRINCIPAL:1	MANE Select
KCNQ4	9132	NM_004700.4	CCDS456.1	PRINCIPAL:2	MANE Select
RABGGTB	5876	NM_004582.4	CCDS669.1	PRINCIPAL:1	MANE Select
RGS8	85397	NM_001102450.3	CCDS41443.1	PRINCIPAL:1	MANE Select
S100A13	6284	NM_001024211.2	CCDS30874.1	PRINCIPAL:1	MANE Select
PACC1	55248	NM_018252.3	CCDS1504.1	PRINCIPAL:1	MANE Select
TARS2	80222	NM_025150.5	CCDS952.1	PRINCIPAL:1	MANE Select
VAMP3	9341	NM_004781.4	CCDS88.1	PRINCIPAL:1	MANE Select
LMOD1	25802	NM_012134.3	CCDS53457.1	PRINCIPAL:1	MANE Select
CACNA1S	779	NM_000069.3	CCDS1407.1	PRINCIPAL:2	MANE Select
SLC35D1	23169	NM_015139.3	CCDS636.1	PRINCIPAL:1	MANE Select
INAVA	55765	NM_001142569.3	CCDS44292.1	PRINCIPAL:1	MANE Select
LAX1	54900	NM_017773.4	CCDS1441.2	PRINCIPAL:2	MANE Select
FBXO6	26270	NM_018438.6	CCDS133.1	PRINCIPAL:1	MANE Select
SCNN1D	6339	NM_001130413.4	CCDS44037.2	PRINCIPAL:1	MANE Select
ATAD3C	219293	NM_001039211.3	CCDS44039.1	PRINCIPAL:1	MANE Select
HTR1D	3352	NM_000864.5	CCDS231.1	PRINCIPAL:1	MANE Select
RPE65	6121	NM_000329.3	CCDS643.1	PRINCIPAL:1	MANE Select
NFIA	4774	NM_001134673.4	CCDS44156.1	PRINCIPAL:1	MANE Select
LRIF1	55791	NM_018372.4	CCDS30800.1	PRINCIPAL:2	MANE Select
ANXA9	8416	NM_003568.3	CCDS975.2	PRINCIPAL:1	MANE Select
PEX11B	8799	NM_003846.3	CCDS72871.1	PRINCIPAL:1	MANE Select
NUAK2	81788	NM_030952.3	CCDS1453.2	PRINCIPAL:1	MANE Select
HNRNPCL4	101060301	NM_001302551.2	CCDS76107.1	PRINCIPAL:1	MANE Select
TAS1R2	80834	NM_152232.6	CCDS187.1	PRINCIPAL:1	MANE Select
FCMR	9214	NM_005449.5	CCDS1473.1	PRINCIPAL:2	MANE Select
CITED4	163732	NM_133467.3	CCDS458.1	PRINCIPAL:1	MANE Select
DYNLT5	200132	NM_152665.3	CCDS633.1	PRINCIPAL:1	MANE Select
EBNA1BP2	10969	NM_006824.3	CCDS478.1	PRINCIPAL:1	MANE Select
AGO1	26523	NM_012199.5	CCDS398.1	PRINCIPAL:4	MANE Select
ARHGEF16	27237	NM_014448.4	CCDS46.2	PRINCIPAL:1	MANE Select
NGF	4803	NM_002506.3	CCDS882.1	PRINCIPAL:1	MANE Select
SEC22B	9554	NM_004892.6	CCDS83523.1	PRINCIPAL:1	MANE Select
B3GALT6	126792	NM_080605.4	CCDS13.1	PRINCIPAL:1	MANE Select
SSX2IP	117178	NM_001166293.2	CCDS699.1	PRINCIPAL:4	MANE Select
FGR	2268	NM_005248.3	CCDS305.1	PRINCIPAL:1	MANE Select
TIE1	7075	NM_005424.5	CCDS482.1	PRINCIPAL:1	MANE Select
PI4KB	5298	NM_001369623.2	-	PRINCIPAL:4	MANE Select
PPIAL4H	105371242	NM_001368128.3	-	PRINCIPAL:1	MANE Select
GNAT2	2780	NM_001377295.2	-	PRINCIPAL:1	MANE Select
PHLDA3	23612	NM_012396.5	CCDS1412.1	PRINCIPAL:1	MANE Select
GPSM2	29899	NM_013296.5	CCDS792.2	PRINCIPAL:1	MANE Select
XCL1	6375	NM_002995.3	CCDS1274.1	PRINCIPAL:1	MANE Select
FAAH	2166	NM_001441.3	CCDS535.1	PRINCIPAL:1	MANE Select
AGMAT	79814	NM_024758.5	CCDS160.1	PRINCIPAL:1	MANE Select
COL16A1	1307	NM_001856.4	CCDS41297.1	PRINCIPAL:2	MANE Select
CAPN8	388743	NM_001143962.2	CCDS73038.1	PRINCIPAL:1	MANE Select
VHLL	391104	NM_001004319.3	-	PRINCIPAL:1	MANE Select
ZBTB48	3104	NM_005341.4	CCDS84.1	PRINCIPAL:1	MANE Select
TARDBP	23435	NM_007375.4	CCDS122.1	PRINCIPAL:1	MANE Select
PRAMEF7	441871	NM_001012277.5	CCDS30593.1	PRINCIPAL:1	MANE Select
TCHHL1	126637	NM_001008536.2	CCDS30857.1	PRINCIPAL:1	MANE Select
NPL	80896	NM_030769.3	CCDS1350.1	PRINCIPAL:1	MANE Select
C1orf56	54964	NM_017860.5	CCDS980.1	PRINCIPAL:1	MANE Select
KDM5B	10765	NM_006618.5	CCDS30974.1	PRINCIPAL:2	MANE Select
NBPF12	149013	NM_001278141.3	CCDS72881.1	PRINCIPAL:1	MANE Select
ZBTB8A	653121	NM_001040441.3	CCDS30664.1	PRINCIPAL:1	MANE Select
RBBP5	5929	NM_005057.4	CCDS30983.1	PRINCIPAL:4	MANE Select
CNN3	1266	NM_001839.5	CCDS30775.1	PRINCIPAL:1	MANE Select
C1orf131	128061	NM_152379.4	CCDS1591.2	PRINCIPAL:2	MANE Select
DUSP12	11266	NM_007240.3	CCDS1234.1	PRINCIPAL:1	MANE Select
RCC2	55920	NM_018715.4	CCDS181.1	PRINCIPAL:1	MANE Select
CLCNKA	1187	NM_004070.4	CCDS167.1	PRINCIPAL:4	MANE Select
C1orf53	388722	NM_001024594.3	CCDS44290.1	PRINCIPAL:1	MANE Select
SLC5A9	200010	NM_001011547.3	CCDS30709.2	PRINCIPAL:1	MANE Select
GPATCH2	55105	NM_018040.5	CCDS1518.1	PRINCIPAL:1	MANE Select
LPGAT1	9926	NM_014873.3	CCDS31018.1	PRINCIPAL:1	MANE Select
HES3	390992	NM_001024598.4	CCDS41238.1	PRINCIPAL:1	MANE Select
CTSE	1510	NM_001910.4	CCDS73013.1	PRINCIPAL:2	MANE Select
LCE1E	353135	NM_178353.2	CCDS1024.1	PRINCIPAL:1	MANE Select
ARMH1	339541	NM_001145636.2	CCDS53311.1	PRINCIPAL:2	MANE Select
FAM72C	554282	NM_001287385.2	CCDS72850.1	PRINCIPAL:1	MANE Select
LCE2D	353141	NM_178430.4	CCDS1018.1	PRINCIPAL:1	MANE Select
OPN3	23596	NM_014322.3	CCDS31072.1	PRINCIPAL:1	MANE Select
FCER1G	2207	NM_004106.2	CCDS1225.1	PRINCIPAL:1	MANE Select
PYGO2	90780	NM_138300.4	CCDS1075.1	PRINCIPAL:1	MANE Select
ACOT11	26027	NM_147161.4	CCDS593.1	PRINCIPAL:1	MANE Select
H2AW	92815	NM_033445.3	CCDS1573.1	PRINCIPAL:1	MANE Select
S100A7	6278	NM_002963.4	CCDS1039.1	PRINCIPAL:1	MANE Select
TEKT2	27285	NM_014466.3	CCDS401.1	PRINCIPAL:1	MANE Select
EPHX1	2052	NM_001136018.4	CCDS1547.1	PRINCIPAL:1	MANE Select
ENO1	2023	NM_001428.5	CCDS97.1	PRINCIPAL:4	MANE Select
OR10K1	391109	NM_001004473.2	CCDS30897.1	PRINCIPAL:1	MANE Select
CTRC	11330	NM_007272.3	CCDS156.1	PRINCIPAL:1	MANE Select
RPA2	6118	NM_002946.5	CCDS314.1	PRINCIPAL:2	MANE Select
BMP8A	353500	NM_181809.4	CCDS437.1	PRINCIPAL:1	MANE Select
PALMD	54873	NM_017734.5	CCDS758.1	PRINCIPAL:1	MANE Select
TEX46	729059	NM_001242521.2	CCDS57978.1	PRINCIPAL:1	MANE Select
SARS1	6301	NM_006513.4	CCDS795.1	PRINCIPAL:1	MANE Select
PDIK1L	149420	NM_152835.5	CCDS274.1	PRINCIPAL:1	MANE Select
XPR1	9213	NM_004736.4	CCDS1340.1	PRINCIPAL:1	MANE Select
DRAM2	128338	NM_001349884.2	CCDS30801.1	PRINCIPAL:1	MANE Select
SPAG17	200162	NM_206996.4	CCDS899.1	PRINCIPAL:2	MANE Select
RHCE	6006	NM_020485.8	CCDS30635.1	PRINCIPAL:1	MANE Select
UCK2	7371	NM_012474.5	CCDS1252.1	PRINCIPAL:1	MANE Select
ZSWIM5	57643	NM_020883.2	CCDS41319.1	PRINCIPAL:1	MANE Select
PUSL1	126789	NM_153339.3	CCDS20.1	PRINCIPAL:1	MANE Select
GJA8	2703	NM_005267.5	CCDS30834.1	PRINCIPAL:1	MANE Select
MCOLN3	55283	NM_018298.11	CCDS701.1	PRINCIPAL:1	MANE Select
C8B	732	NM_000066.4	CCDS30730.1	PRINCIPAL:1	MANE Select
UAP1	6675	NM_001324116.5	CCDS81393.1	PRINCIPAL:5	MANE Select
OR2M7	391196	NM_001004691.1	CCDS31111.1	PRINCIPAL:1	MANE Select
PIGV	55650	NM_017837.4	CCDS287.1	PRINCIPAL:1	MANE Select
ETNK2	55224	NM_018208.4	CCDS1442.2	PRINCIPAL:1	MANE Select
PLD5	200150	NM_001372062.1	CCDS1621.2	PRINCIPAL:1	MANE Select
CYP4B1	1580	NM_001099772.2	CCDS41328.1	PRINCIPAL:4	MANE Select
S100A16	140576	NM_080388.3	CCDS1045.1	PRINCIPAL:1	MANE Select
RNF207	388591	NM_207396.3	CCDS59.2	PRINCIPAL:1	MANE Select
HES5	388585	NM_001010926.4	CCDS41233.1	PRINCIPAL:1	MANE Select
SELE	6401	NM_000450.2	CCDS1283.1	PRINCIPAL:1	MANE Select
CKS1B	1163	NM_001826.3	CCDS1077.1	PRINCIPAL:1	MANE Select
TPR	7175	NM_003292.3	CCDS41446.1	PRINCIPAL:1	MANE Select
HYI	81888	NM_001190880.3	CCDS53309.1	PRINCIPAL:1	MANE Select
HSD17B7	51478	NM_016371.4	CCDS1242.1	PRINCIPAL:1	MANE Select
OR6K3	391114	NM_001005327.3	CCDS30903.2	PRINCIPAL:1	MANE Select
CDC20	991	NM_001255.3	CCDS484.1	PRINCIPAL:1	MANE Select
SLC25A34	284723	NM_207348.3	CCDS162.1	PRINCIPAL:1	MANE Select
IKBKE	9641	NM_014002.4	CCDS30996.1	PRINCIPAL:1	MANE Select
KPRP	448834	NM_001025231.3	CCDS30862.1	PRINCIPAL:1	MANE Select
ACP6	51205	NM_016361.5	CCDS928.1	PRINCIPAL:1	MANE Select
INTS7	25896	NM_015434.4	CCDS1501.1	PRINCIPAL:1	MANE Select
ARHGAP29	9411	NM_004815.4	CCDS748.1	PRINCIPAL:1	MANE Select
SF3B4	10262	NM_005850.5	CCDS72900.1	PRINCIPAL:1	MANE Select
LPAR3	23566	NM_012152.3	CCDS700.1	PRINCIPAL:1	MANE Select
LEPR	3953	NM_002303.6	CCDS631.1	PRINCIPAL:4	MANE Select
TBX15	6913	NM_001330677.2	CCDS81360.1	PRINCIPAL:1	MANE Select
CGN	57530	NM_020770.3	CCDS999.1	PRINCIPAL:1	MANE Select
TXLNA	200081	NM_175852.4	CCDS353.1	PRINCIPAL:2	MANE Select
SRGAP2	23380	NM_015326.5	CCDS73017.1	PRINCIPAL:4	MANE Select
PARS2	25973	NM_152268.4	CCDS597.1	PRINCIPAL:1	MANE Select
SEMA6C	10500	NM_030913.6	CCDS984.1	PRINCIPAL:4	MANE Select
BCAS2	10286	NM_005872.3	CCDS874.1	PRINCIPAL:1	MANE Select
RAB3B	5865	NM_002867.4	CCDS560.1	PRINCIPAL:1	MANE Select
PADI2	11240	NM_007365.3	CCDS177.1	PRINCIPAL:1	MANE Select
C1orf116	79098	NM_023938.6	CCDS1475.1	PRINCIPAL:1	MANE Select
UQCRHL	440567	NM_001089591.2	CCDS76112.1	PRINCIPAL:1	MANE Select
SORT1	6272	NM_002959.7	CCDS798.1	PRINCIPAL:4	MANE Select
CELA3B	23436	NM_007352.4	CCDS219.1	PRINCIPAL:1	MANE Select
EXO5	64789	NM_001346953.2	CCDS453.1	PRINCIPAL:1	MANE Select
PLA2G4A	5321	NM_024420.3	CCDS1372.1	PRINCIPAL:1	MANE Select
METTL13	51603	NM_015935.5	CCDS1299.1	PRINCIPAL:1	MANE Select
EDN2	1907	NM_001956.5	CCDS462.1	PRINCIPAL:1	MANE Select
CELF3	11189	NM_007185.7	CCDS1002.1	PRINCIPAL:4	MANE Select
GUCA2B	2981	NM_007102.3	CCDS464.1	PRINCIPAL:1	MANE Select
