RefSeq_id	Gene_name	Protein_id	Transcript_id	CCDS	HGNC_name_e107
152	ADRA2C	NP_000674.2	NM_000683	CCDS47004.1	ADRA2C
133060	OTOP1	NP_819056.1	NM_177998	CCDS3372.1	OTOP1
85013	TMEM128	XP_005248090.1	PRJNA168;XM_005248033	-	TMEM128
85013	TMEM128	XP_005248091.1	PRJNA168;XM_005248034	-	TMEM128
55646	LYAR	NP_001139197.1	NM_001145725	CCDS3374.1	LYAR
55646	LYAR	NP_060286.1	NM_017816	CCDS3374.1	LYAR
166793	ZBTB49	NP_660334.3	NM_145291	CCDS3375.1	ZBTB49
27065	NSG1	NP_055207.1	NM_014392	CCDS3376.1	NSG1
27065	NSG1	NP_001035190.1	NM_001040101	CCDS3376.1	NSG1
27065	NSG1	XP_005248011.1	PRJNA168;XM_005247954	-	NSG1
53407	STX18	NP_058626.1	NM_016930	CCDS3377.1	STX18
4487	MSX1	NP_002439.2	NM_002448	CCDS3378.2	MSX1
54360	CYTL1	NP_061129.1	NM_018659	CCDS3379.1	CYTL1
55351	STK32B	NP_060871.1	NM_018401	CCDS3380.1	STK32B
132884	EVC2	NP_667338.3	NM_147127	CCDS3382.2	EVC2
2121	EVC	NP_714928.1	NM_153717	CCDS3383.1	EVC
152789	JAKMIP1	NP_001092903.1	NM_001099433	CCDS47005.1	JAKMIP1
152789	JAKMIP1	XP_005248003.1	PRJNA168;XM_005247946	-	JAKMIP1
7466	WFS1	NP_005996.2	NM_006005	CCDS3386.1	WFS1
7466	WFS1	NP_001139325.1	NM_001145853	CCDS3386.1	WFS1
5522	PPP2R2C	XP_005248034.1	PRJNA168;XM_005247977	-	PPP2R2C
23324	MAN2B2	NP_056089.1	NM_015274	CCDS33951.1	MAN2B2
93621	MRFAP1	NP_150638.1	NM_033296	CCDS3389.1	MRFAP1
93621	MRFAP1	NP_001258982.1	NM_001272053	-	MRFAP1
6286	S100P	NP_005971.1	NM_005980	CCDS3391.1	S100P
114932	MRFAP1L1	NP_982287.1	NM_203462	CCDS3392.1	MRFAP1L1
114932	MRFAP1L1	XP_005247989.1	PRJNA168;XM_005247932	-	MRFAP1L1
55330	BLOC1S4	NP_060836.1	NM_018366	CCDS3393.1	BLOC1S4
9778	KIAA0232	NP_055558.2	NM_014743	CCDS43209.1	KIAA0232
9778	KIAA0232	NP_001094060.1	NM_001100590	CCDS43209.1	KIAA0232
257236	CCDC96	NP_699207.1	NM_153376	CCDS3395.1	CCDC96
93624	TADA2B	NP_689506.2	NM_152293	CCDS47007.1	TADA2B
80273	GRPEL1	NP_079472.1	NM_025196	CCDS3396.1	GRPEL1
57537	SORCS2	NP_065828.2	NM_020777	CCDS47008.1	SORCS2
768239	PSAPL1	NP_001078851.1	NM_001085382	CCDS47009.1	PSAPL1
84448	ABLIM2	NP_001123555.1	NM_001130083	CCDS47014.1	ABLIM2
94031	HTRA3	NP_444272.1	NM_053044	CCDS3400.1	HTRA3
8310	ACOX3	NP_003492.2	NM_003501	CCDS3401.1	ACOX3
8310	ACOX3	XP_005248068.1	PRJNA168;XM_005248011	-	ACOX3
152992	TRMT44	NP_689757.2	NM_152544	CCDS3402.2	TRMT44
27201	GPR78	NP_543009.2	NM_080819	CCDS3403.1	GPR78
3166	HMX1	NP_061815.2	NM_018942	CCDS47018.1	HMX1
100287144	USP17L10	NP_001243781.1	NM_001256852	CCDS59454.1	USP17L10
100287178	USP17L11	NP_001243783.1	NM_001256854	CCDS59455.1	USP17L11
100287205	USP17L12	NP_001243782.1	NM_001256853	CCDS59456.1	USP17L12
100287238	USP17L13	NP_001243784.1	NM_001256855	CCDS59457.1	USP17L13
100287327	USP17L17	NP_001243786.1	NM_001256857	CCDS59458.1	USP17L17
100287364	USP17L18	NP_001243788.1	NM_001256859	CCDS59459.1	USP17L18
100287404	USP17L19	NP_001243789.1	NM_001256860	CCDS59460.1	USP17L19
100287441	USP17L20	NP_001243790.1	NM_001256861	CCDS59461.1	USP17L20
100287478	USP17L21	NP_001243791.1	NM_001256862	CCDS59462.1	USP17L21
100287513	USP17L22	NP_001243792.1	NM_001256863	CCDS59463.1	USP17L22
728369	USP17L24	NP_001229256.1	NM_001242327	CCDS59464.1	USP17L30
728373	USP17L25	NP_001229255.1	NM_001242326	CCDS59465.1	USP17L30
728379	USP17L26	NP_001229257.1	NM_001242328	CCDS59466.1	USP17L30
728386	USP17L5	NP_001229258.1	NM_001242329	CCDS59467.1	USP17L5
728393	USP17L27	NP_001229259.1	NM_001242330	CCDS59468.1	USP17L30
728400	USP17L28	NP_001229260.1	NM_001242331	CCDS59469.1	USP17L30
728405	USP17L29	NP_001229261.1	NM_001242332	CCDS59470.1	USP17L30
728419	USP17L30	NP_001243796.1	NM_001256867	CCDS59471.1	USP17L30
644414	DEFB131	NP_001035538.2	NM_001040448	CCDS43213.1	DEFB131A
1816	DRD5	NP_000789.1	NM_000798	CCDS3405.1	DRD5
56606	SLC2A9	NP_064425.2	NM_020041	CCDS3407.1	SLC2A9
9948	WDR1	NP_059830.1	NM_017491	CCDS54740.1	WDR1
85460	ZNF518B	NP_444270.2	NM_053042	CCDS33960.1	ZNF518B
85460	ZNF518B	XP_005248250.1	PRJNA168;XM_005248193	-	ZNF518B
116449	CLNK	NP_443196.2	NM_052964	CCDS47024.1	CLNK
9957	HS3ST1	NP_005105.1	NM_005114	CCDS3408.1	HS3ST1
9957	HS3ST1	XP_005248278.1	PRJNA168;XM_005248221	-	HS3ST1
9957	HS3ST1	XP_005248279.1	PRJNA168;XM_005248222	-	HS3ST1
9364	RAB28	NP_001017979.1	NM_001017979	CCDS33961.1	RAB28
579	NKX3-2	NP_001180.1	NM_001189	CCDS3410.1	NKX3-2
259282	BOD1L1	NP_683692.2	NM_148894	CCDS3411.2	BOD1L1
132864	CPEB2	NP_001170853.1	NM_001177382	CCDS56325.1	CPEB2
114905	C1QTNF7	NP_001128643.1	NM_001135171	CCDS3414.1	C1QTNF7
114905	C1QTNF7	NP_114117.1	NM_031911	CCDS3414.1	C1QTNF7
57545	CC2D2A	NP_001073991.2	NM_001080522	CCDS47026.1	CC2D2A
57545	CC2D2A	XP_005248234.1	PRJNA168;XM_005248177	-	CC2D2A
26234	FBXL5	NP_036293.1	NM_012161	CCDS3415.1	FBXL5
285550	FAM200B	NP_001138663.1	NM_001145191	CCDS47028.1	FAM200B
683	BST1	NP_004325.2	NM_004334	CCDS3416.1	BST1
952	CD38	NP_001766.2	NM_001775	CCDS3417.1	CD38
9982	FGFBP1	NP_005121.1	NM_005130	CCDS3418.1	FGFBP1
83888	FGFBP2	NP_114156.1	NM_031950	CCDS3419.1	FGFBP2
8842	PROM1	NP_006008.1	NM_006017	CCDS47029.1	PROM1
8842	PROM1	XP_005248251.1	PRJNA168;XM_005248194	-	PROM1
202018	TAPT1	NP_699196.2	NM_153365	CCDS47030.1	TAPT1
9079	LDB2	NP_001281.1	NM_001290	CCDS3420.1	LDB2
5860	QDPR	NP_000311.2	NM_000320	CCDS3421.1	QDPR
645104	CLRN2	NP_001073296.1	NM_001079827	CCDS47032.1	CLRN2
51056	LAP3	NP_056991.2	NM_015907	CCDS3422.1	LAP3
80306	MED28	NP_079481.2	NM_025205	CCDS33963.1	MED28
27146	FAM184B	NP_056503.1	NM_015688	CCDS47033.1	FAM184B
54876	DCAF16	NP_060211.3	NM_017741	CCDS3423.1	DCAF16
54876	DCAF16	XP_005248226.1	PRJNA168;XM_005248169	-	DCAF16
54876	DCAF16	XP_005248227.1	PRJNA168;XM_005248170	-	DCAF16
54876	DCAF16	XP_005248228.1	PRJNA168;XM_005248171	-	DCAF16
64151	NCAPG	NP_071741.2	NM_022346	CCDS3424.1	NCAPG
9353	SLIT2	NP_004778.1	NM_004787	CCDS3426.1	SLIT2
133015	PACRGL	NP_001245274.1	NM_001258345	CCDS58895.1	PACRGL
166647	GPR125	NP_660333.2	NM_145290	CCDS33964.1	ADGRA3
10891	PPARGC1A	NP_037393.1	NM_013261	CCDS3429.1	PPARGC1A
1665	DHX15	NP_001349.2	NM_001358	CCDS33966.1	DHX15
6649	SOD3	NP_003093.2	NM_003102	CCDS3430.1	SOD3
55203	LGI2	NP_060646.2	NM_018176	CCDS3431.1	LGI2
51091	SEPSECS	NP_058651.3	NM_016955	CCDS3432.2	SEPSECS
55300	PI4K2B	NP_060793.2	NM_018323	CCDS3433.1	PI4K2B
29063	ZCCHC4	NP_079212.2	NM_024936	CCDS43218.1	ZCCHC4
29945	ANAPC4	NP_037499.2	NM_013367	CCDS3434.1	ANAPC4
23231	SEL1L3	NP_056002.2	NM_015187	CCDS47037.1	SEL1L3
389203	SMIM20	NP_001138904.1	NM_001145432	CCDS47038.1	SMIM20
886	CCKAR	NP_000721.1	NM_000730	CCDS3438.1	CCKAR
55296	TBC1D19	NP_060787.2	NM_018317	CCDS3439.1	TBC1D19
57620	STIM2	NP_065911.3	NM_020860	CCDS3440.2	STIM2
116984	ARAP2	NP_056045.2	NM_015230	CCDS3441.1	ARAP2
116984	ARAP2	XP_005262695.1	PRJNA168;XM_005262638	-	ARAP2
116984	ARAP2	XP_005262696.1	PRJNA168;XM_005262639	-	ARAP2
57495	KIAA1239	NP_001138462.1	NM_001144990	CCDS47040.1	NWD2
55286	C4orf19	NP_001098099.1	NM_001104629	CCDS3442.1	C4orf19
55286	C4orf19	NP_060772.2	NM_018302	CCDS3442.1	C4orf19
55286	C4orf19	XP_005262714.1	PRJNA168;XM_005262657	-	C4orf19
768211	RELL1	NP_001078868.1	NM_001085399	CCDS43221.1	RELL1
768211	RELL1	NP_001078869.1	NM_001085400	CCDS43221.1	RELL1
55276	PGM2	NP_060760.2	NM_018290	CCDS3443.1	PGM2
10744	PTTG2	NP_006598.2	NM_006607	CCDS54755.1	PTTG2
51274	KLF3	NP_057615.3	NM_016531	CCDS3444.1	KLF3
81793	TLR10	NP_112218.2	NM_030956	CCDS3445.1	TLR10
81793	TLR10	NP_001017388.1	NM_001017388	CCDS3445.1	TLR10
81793	TLR10	NP_001182035.1	NM_001195106	CCDS3445.1	TLR10
81793	TLR10	NP_001182036.1	NM_001195107	CCDS3445.1	TLR10
7096	TLR1	NP_003254.2	NM_003263	CCDS33973.1	TLR1
7096	TLR1	XP_005262719.1	PRJNA168;XM_005262662	-	TLR1
7096	TLR1	XP_005262720.1	PRJNA168;XM_005262663	-	TLR1
7096	TLR1	XP_005262721.1	PRJNA168;XM_005262664	-	TLR1
7096	TLR1	XP_005262722.1	PRJNA168;XM_005262665	-	TLR1
7096	TLR1	XP_005262723.1	PRJNA168;XM_005262666	-	TLR1
10333	TLR6	NP_006059.2	NM_006068	CCDS3446.1	TLR6
10333	TLR6	XP_005262693.1	PRJNA168;XM_005262636	-	TLR6
10333	TLR6	XP_005262694.1	PRJNA168;XM_005262637	-	TLR6
92689	FAM114A1	NP_612398.2	NM_138389	CCDS3447.1	FAM114A1
92689	FAM114A1	XP_005262729.1	PRJNA168;XM_005262672	-	FAM114A1
80008	TMEM156	NP_079219.1	NM_024943	CCDS3448.1	TMEM156
51088	KLHL5	NP_001007076.1	NM_001007075	CCDS33975.1	KLHL5
57728	WDR19	NP_079408.3	NM_025132	CCDS47042.1	WDR19
5981	RFC1	NP_002904.3	NM_002913	CCDS3450.1	RFC1
152831	KLB	NP_783864.1	NM_175737	CCDS3451.1	KLB
6133	RPL9	NP_001020092.1	NM_001024921	CCDS3452.1	RPL9
6133	RPL9	NP_000652.2	NM_000661	CCDS3452.1	RPL9
6133	RPL9	XP_005262718.1	PRJNA168;XM_005262661	-	RPL9
11019	LIAS	NP_006850.2	NM_006859	CCDS3453.1	LIAS
7358	UGDH	NP_003350.1	NM_003359	CCDS3455.1	UGDH
7358	UGDH	XP_005262725.1	PRJNA168;XM_005262668	-	UGDH
201895	SMIM14	NP_777581.1	NM_174921	CCDS3456.1	SMIM14
3093	UBE2K	NP_005330.1	NM_005339	CCDS33976.1	UBE2K
23244	PDS5A	NP_001093869.1	NM_001100399	CCDS47045.1	PDS5A
23244	PDS5A	XP_005262709.1	PRJNA168;XM_005262652	-	PDS5A
55728	N4BP2	NP_060647.2	NM_018177	CCDS3457.1	N4BP2
399	RHOH	NP_001265288.1	NM_001278359	-	RHOH
399	RHOH	NP_001265289.1	NM_001278360	-	RHOH
399	RHOH	NP_001265290.1	NM_001278361	-	RHOH
399	RHOH	NP_001265291.1	NM_001278362	-	RHOH
399	RHOH	NP_001265292.1	NM_001278363	-	RHOH
399	RHOH	NP_004301.1	NM_004310	CCDS3458.1	RHOH
399	RHOH	NP_001265293.1	NM_001278364	-	RHOH
399	RHOH	NP_001265294.1	NM_001278365	-	RHOH
399	RHOH	NP_001265295.1	NM_001278366	-	RHOH
399	RHOH	NP_001265296.1	NM_001278367	-	RHOH
399	RHOH	NP_001265297.1	NM_001278368	-	RHOH
399	RHOH	NP_001265298.1	NM_001278369	-	RHOH
55584	CHRNA9	NP_060051.2	NM_017581	CCDS3459.1	CHRNA9
54502	RBM47	NP_001092104.1	NM_001098634	CCDS43223.1	RBM47
54502	RBM47	XP_005248160.1	PRJNA168;XM_005248103	-	RBM47
54502	RBM47	XP_005248161.1	PRJNA168;XM_005248104	-	RBM47
54502	RBM47	XP_005248162.1	PRJNA168;XM_005248105	-	RBM47
54502	RBM47	XP_005248163.1	PRJNA168;XM_005248106	-	RBM47
54502	RBM47	XP_005248164.1	PRJNA168;XM_005248107	-	RBM47
54502	RBM47	XP_005248165.1	PRJNA168;XM_005248108	-	RBM47
54502	RBM47	XP_005248166.1	PRJNA168;XM_005248109	-	RBM47
323	APBB2	NP_004298.1	NM_004307	CCDS54762.1	APBB2
323	APBB2	XP_005248151.1	PRJNA168;XM_005248094	-	APBB2
323	APBB2	XP_005248152.1	PRJNA168;XM_005248095	-	APBB2
323	APBB2	XP_005248153.1	PRJNA168;XM_005248096	-	APBB2
323	APBB2	XP_005248154.1	PRJNA168;XM_005248097	-	APBB2
7345	UCHL1	NP_004172.2	NM_004181	CCDS3462.1	UCHL1
8929	PHOX2B	NP_003915.2	NM_003924	CCDS3463.1	PHOX2B
55161	TMEM33	NP_060596.2	NM_018126	CCDS3464.1	TMEM33
55161	TMEM33	XP_005248173.1	PRJNA168;XM_005248116	-	TMEM33
55161	TMEM33	XP_005248174.1	PRJNA168;XM_005248117	-	TMEM33
285429	DCAF4L1	NP_001025126.2	NM_001029955	CCDS33978.1	DCAF4L1
10463	SLC30A9	NP_006336.3	NM_006345	CCDS3465.1	SLC30A9
389206	BEND4	NP_997289.2	NM_207406	CCDS47048.1	BEND4
152573	SHISA3	NP_001073974.1	NM_001080505	CCDS33979.1	SHISA3
10396	ATP8A1	NP_006086.1	NM_006095	CCDS3466.1	ATP8A1
389207	GRXCR1	NP_001073945.1	NM_001080476	CCDS43225.1	GRXCR1
386617	KCTD8	NP_938167.1	NM_198353	CCDS3467.1	KCTD8
60558	GUF1	NP_068746.2	NM_021927	CCDS3468.1	GUF1
132789	GNPDA2	NP_612208.1	NM_138335	CCDS3469.1	GNPDA2
2565	GABRG1	NP_775807.2	NM_173536	CCDS3470.1	GABRG1
2555	GABRA2	NP_000798.2	NM_000807	CCDS3471.1	GABRA2
2555	GABRA2	NP_001107647.1	NM_001114175	CCDS3471.1	GABRA2
170712	COX7B2	NP_570972.2	NM_130902	CCDS3472.2	COX7B2
170712	COX7B2	XP_005248111.1	PRJNA168;XM_005248054	-	COX7B2
170712	COX7B2	XP_005248112.1	PRJNA168;XM_005248055	-	COX7B2
170712	COX7B2	XP_005248113.1	PRJNA168;XM_005248056	-	COX7B2
2557	GABRA4	NP_000800.2	NM_000809	CCDS3473.1	GABRA4
2560	GABRB1	NP_000803.2	NM_000812	CCDS3474.1	GABRB1
54951	COMMD8	NP_060315.1	NM_017845	CCDS3475.1	COMMD8
57205	ATP10D	NP_065186.3	NM_020453	CCDS3476.1	ATP10D
57205	ATP10D	XP_005248175.1	PRJNA168;XM_005248118	-	ATP10D
10699	CORIN	NP_006578.2	NM_006587	CCDS3477.1	CORIN
152518	NFXL1	NP_694540.3	NM_152995	CCDS3478.2	NFXL1
152518	NFXL1	NP_001265552.1	NM_001278623	-	NFXL1
152518	NFXL1	NP_001265553.1	NM_001278624	-	NFXL1
152519	NIPAL1	NP_997213.1	NM_207330	CCDS3479.1	NIPAL1
7294	TXK	NP_003319.2	NM_003328	CCDS3480.1	TXK
7006	TEC	NP_003206.2	NM_003215	CCDS3481.1	TEC
57606	SLAIN2	NP_065897.1	NM_020846	CCDS47051.1	SLAIN2
201780	SLC10A4	NP_689892.1	NM_152679	CCDS3482.1	SLC10A4
326340	ZAR1	NP_783318.1	NM_175619	CCDS3483.1	ZAR1
285527	FRYL	NP_055845.1	NM_015030	CCDS43227.1	FRYL
54940	OCIAD1	NP_060300.1	NM_017830	CCDS3484.1	OCIAD1
54940	OCIAD1	NP_001073308.1	NM_001079839	CCDS3484.1	OCIAD1
54940	OCIAD1	XP_005248169.1	PRJNA168;XM_005248112	-	OCIAD1
132299	OCIAD2	NP_001014446.1	NM_001014446	CCDS33981.1	OCIAD2
80157	CWH43	NP_079363.2	NM_025087	CCDS3486.1	CWH43
23142	DCUN1D4	NP_001035492.1	NM_001040402	CCDS33982.1	DCUN1D4
339977	LRRC66	NP_001019782.1	NM_001024611	CCDS43229.1	LRRC66
339977	LRRC66	XP_005265796.1	PRJNA168;XM_005265739	-	LRRC66
6443	SGCB	NP_000223.1	NM_000232	CCDS3488.1	SGCB
132671	SPATA18	NP_660306.1	NM_145263	CCDS3489.1	SPATA18
64854	USP46	NP_073743.2	NM_022832	CCDS47053.1	USP46
100288413	ERVMER34-1	NP_078810.1	NM_024534	-	ERVMER34-1
100288413	ERVMER34-1	NP_001229619.1	NM_001242690	-	ERVMER34-1
65997	RASL11B	NP_076429.1	NM_023940	CCDS3490.1	RASL11B
152579	SCFD2	NP_689753.2	NM_152540	CCDS33984.1	SCFD2
81608	FIP1L1	NP_112179.2	NM_030917	CCDS3491.1	FIP1L1
84708	LNX1	NP_001119800.1	NM_001126328	CCDS47057.1	LNX1
84708	LNX1	XP_005265842.1	PRJNA168;XM_005265785	-	LNX1
84708	LNX1	XP_005265843.1	PRJNA168;XM_005265786	-	LNX1
26511	CHIC2	NP_036242.1	NM_012110	CCDS3493.1	CHIC2
5156	PDGFRA	NP_006197.1	NM_006206	CCDS3495.1	PDGFRA
5156	PDGFRA	XP_005265800.1	PRJNA168;XM_005265743	-	PDGFRA
3815	KIT	NP_000213.1	NM_000222	CCDS3496.1	KIT
3791	KDR	NP_002244.1	NM_002253	CCDS3497.1	KDR
79644	SRD5A3	NP_078868.1	NM_024592	CCDS3498.1	SRD5A3
55858	TMEM165	NP_060945.2	NM_018475	CCDS3499.1	TMEM165
9575	CLOCK	NP_001254772.1	NM_001267843	CCDS3500.1	CLOCK
9575	CLOCK	NP_004889.1	NM_004898	CCDS3500.1	CLOCK
9575	CLOCK	XP_005265844.1	PRJNA168;XM_005265787	-	CLOCK
132954	PDCL2	NP_689614.2	NM_152401	CCDS47059.1	PDCL2
10874	NMU	NP_006672.1	NM_006681	CCDS3501.1	NMU
9662	CEP135	NP_079285.2	NM_025009	CCDS33986.1	CEP135
57482	KIAA1211	NP_065773.1	NM_020722	CCDS43230.1	CRACD
57482	KIAA1211	XP_005265809.1	PRJNA168;XM_005265752	-	CRACD
132949	AASDH	NP_861522.2	NM_181806	CCDS3504.1	AASDH
132949	AASDH	XP_005265778.1	PRJNA168;XM_005265721	-	AASDH
5471	PPAT	NP_002694.3	NM_002703	CCDS3505.1	PPAT
10606	PAICS	NP_006443.1	NM_006452	CCDS47061.1	PAICS
10606	PAICS	NP_001072992.1	NM_001079524	CCDS47061.1	PAICS
6731	SRP72	NP_008878.3	NM_006947	CCDS3506.1	SRP72
132946	ARL9	XP_005265776.1	PRJNA168;XM_005265719	-	ARL9
100506564	THEGL	NP_001243404.1	NM_001256475	CCDS58899.1	THEGL
5978	REST	NP_005603.3	NM_005612	CCDS3509.1	REST
5978	REST	NP_001180437.1	NM_001193508	CCDS3509.1	REST
84273	NOA1	NP_115689.1	NM_032313	CCDS3510.1	NOA1
5431	POLR2B	NP_000929.1	NM_000938	CCDS3511.1	POLR2B
3490	IGFBP7	NP_001544.1	NM_001553	CCDS3512.1	IGFBP7
253017	TECRL	NP_001010874.2	NM_001010874	CCDS33990.1	TECRL
2044	EPHA5	XP_005265708.1	PRJNA168;XM_005265651	-	EPHA5
1060	CENPC	NP_001803.2	NM_001812	CCDS47063.1	CENPC
26228	STAP1	NP_036240.1	NM_012108	CCDS3515.1	STAP1
55236	UBA6	NP_060697.4	NM_018227	CCDS3516.1	UBA6
2798	GNRHR	NP_000397.1	NM_000406	CCDS3517.1	GNRHR
9407	TMPRSS11D	NP_004253.1	NM_004262	CCDS3518.1	TMPRSS11D
339967	TMPRSS11A	NP_001107859.1	NM_001114387	CCDS47065.1	TMPRSS11A
389208	TMPRSS11F	NP_997290.2	NM_207407	CCDS3520.1	TMPRSS11F
132724	TMPRSS11B	NP_872308.2	NM_182502	CCDS3521.1	TMPRSS11B
91746	YTHDC1	NP_001026902.1	NM_001031732	CCDS33992.1	YTHDC1
28983	TMPRSS11E	NP_054777.2	NM_014058	CCDS33993.1	TMPRSS11E
7367	UGT2B17	NP_001068.1	NM_001077	CCDS3523.1	UGT2B17
7366	UGT2B15	NP_001067.2	NM_001076	CCDS3524.1	UGT2B15
7365	UGT2B10	NP_001066.1	NM_001075	-	UGT2B10
79799	UGT2A3	NP_079019.3	NM_024743	CCDS3525.1	UGT2A3
7364	UGT2B7	NP_001065.2	NM_001074	CCDS3526.1	UGT2B7
10720	UGT2B11	NP_001064.1	NM_001073	CCDS3527.1	UGT2B11
54490	UGT2B28	NP_444267.1	NM_053039	CCDS3528.1	UGT2B28
7363	UGT2B4	NP_066962.2	NM_021139	CCDS43234.1	UGT2B4
574537	UGT2A2	NP_001099147.2	NM_001105677	CCDS56331.1	UGT2A2
27284	SULT1B1	NP_055280.2	NM_014465	CCDS3530.1	SULT1B1
27284	SULT1B1	XP_005265734.1	PRJNA168;XM_005265677	-	SULT1B1
6783	SULT1E1	NP_005411.1	NM_005420	CCDS3531.1	SULT1E1
1446	CSN1S1	NP_001881.1	NM_001890	CCDS47067.1	CSN1S1
1447	CSN2	NP_001882.1	NM_001891	CCDS3532.1	CSN2
6779	STATH	NP_003145.1	NM_003154	CCDS3533.1	STATH
3347	HTN3	NP_000191.1	NM_000200	CCDS33999.1	HTN3
3346	HTN1	NP_002150.1	NM_002159	CCDS3534.1	HTN1
401137	C4orf40	NP_999876.2	NM_214711	CCDS3535.1	PRR27
401137	C4orf40	XP_005265743.1	PRJNA168;XM_005265686	-	PRR27
54959	ODAM	NP_060325.3	NM_017855	CCDS3536.2	ODAM
260436	FDCSP	NP_694542.1	NM_152997	CCDS3537.1	FDCSP
1448	CSN3	NP_005203.2	NM_005212	CCDS3538.1	CSN3
85438	CABS1	NP_149113.3	NM_033122	CCDS3539.1	CABS1
26952	SMR3A	NP_036522.3	NM_012390	CCDS34000.1	SMR3A
10879	SMR3B	NP_006676.1	NM_006685	CCDS3540.1	SMR3B
58503	PROL1	NP_067048.4	NM_021225	CCDS43235.1	OPRPN
4589	MUC7	NP_689504.2	NM_152291	CCDS3541.1	MUC7
4589	MUC7	NP_001138478.1	NM_001145006	CCDS3541.1	MUC7
4589	MUC7	NP_001138479.1	NM_001145007	CCDS3541.1	MUC7
4589	MUC7	XP_005265750.1	PRJNA168;XM_005265693	-	MUC7
4589	MUC7	XP_005265751.1	PRJNA168;XM_005265694	-	MUC7
4589	MUC7	XP_005265752.1	PRJNA168;XM_005265695	-	MUC7
401138	AMTN	NP_997722.1	NM_212557	CCDS3542.1	AMTN
258	AMBN	NP_057603.1	NM_016519	CCDS3543.1	AMBN
10117	ENAM	NP_114095.2	NM_031889	CCDS3544.2	ENAM
3512	IGJ	NP_653247.1	NM_144646	CCDS3545.1	JCHAIN
57050	UTP3	NP_065101.1	NM_020368	CCDS3546.1	UTP3
22902	RUFY3	NP_001032519.1	NM_001037442	CCDS34001.1	RUFY3
92597	MOB1B	NP_775739.1	NM_173468	CCDS34002.1	MOB1B
1633	DCK	NP_000779.1	NM_000788	CCDS3548.1	DCK
8671	SLC4A4	NP_001091954.1	NM_001098484	CCDS43236.1	SLC4A4
2638	GC	NP_000574.2	NM_000583	CCDS3550.1	GC
2638	GC	NP_001191235.1	NM_001204306	CCDS3550.1	GC
10886	NPFFR2	NP_444264.1	NM_053036	CCDS3552.1	NPFFR2
9508	ADAMTS3	NP_055058.2	NM_014243	CCDS3553.1	ADAMTS3
213	ALB	NP_000468.1	NM_000477	CCDS3555.1	ALB
174	AFP	NP_001125.1	NM_001134	CCDS3556.1	AFP
173	AFM	NP_001124.1	NM_001133	CCDS3557.1	AFM
166824	RASSF6	NP_803876.1	NM_177532	CCDS3559.1	RASSF6
3576	IL8	NP_000575.1	NM_000584	CCDS34005.1	CXCL8
6372	CXCL6	NP_002984.1	NM_002993	CCDS3560.1	CXCL6
5197	PF4V1	NP_002611.1	NM_002620	CCDS3561.1	PF4V1
2919	CXCL1	NP_001502.1	NM_001511	CCDS47074.1	CXCL1
5196	PF4	NP_002610.1	NM_002619	CCDS3562.1	PF4
5473	PPBP	NP_002695.1	NM_002704	CCDS3563.1	PPBP
6374	CXCL5	NP_002985.1	NM_002994	CCDS34006.1	CXCL5
2921	CXCL3	NP_002081.2	NM_002090	CCDS34007.1	CXCL3
2920	CXCL2	NP_002080.1	NM_002089	CCDS34008.1	CXCL2
441024	MTHFD2L	NP_001138450.1	NM_001144978	CCDS47075.1	MTHFD2L
255324	EPGN	NP_001257918.1	NM_001270989	CCDS59478.1	EPGN
2069	EREG	NP_001423.1	NM_001432	CCDS3564.1	EREG
374	AREG	NP_001648.1	NM_001657	CCDS3565.1	AREG
727738	AREGB	XP_001125684.1	PRJNA168;XM_001125684	-	AREG
685	BTC	NP_001720.1	NM_001729	CCDS3566.1	BTC
25849	PARM1	NP_056208.2	NM_015393	CCDS47077.1	PARM1
25898	RCHY1	NP_056251.2	NM_015436	CCDS3567.1	RCHY1
152815	THAP6	NP_653322.1	NM_144721	CCDS3568.1	THAP6
152815	THAP6	XP_005262828.1	PRJNA168;XM_005262771	-	THAP6
152816	C4orf26	NP_848592.2	NM_178497	CCDS3569.1	ODAPH
8999	CDKL2	XP_005263392.1	PRJNA168;XM_005263335	-	CDKL2
9908	G3BP2	NP_987101.1	NM_203505	CCDS3571.1	G3BP2
9908	G3BP2	NP_036429.2	NM_012297	CCDS3571.1	G3BP2
9908	G3BP2	XP_005263439.1	PRJNA168;XM_005263382	-	G3BP2
9908	G3BP2	XP_005263440.1	PRJNA168;XM_005263383	-	G3BP2
9908	G3BP2	XP_005263441.1	PRJNA168;XM_005263384	-	G3BP2
9908	G3BP2	XP_005263442.1	PRJNA168;XM_005263385	-	G3BP2
9908	G3BP2	XP_005263443.1	PRJNA168;XM_005263386	-	G3BP2
5470	PPEF2	NP_006230.2	NM_006239	CCDS34013.1	PPEF2
27163	NAAA	NP_055250.2	NM_014435	CCDS43239.1	NAAA
27163	NAAA	XP_005262977.1	PRJNA168;XM_005262920	-	NAAA
55153	SDAD1	NP_060585.2	NM_018115	CCDS3573.2	SDAD1
4283	CXCL9	NP_002407.1	NM_002416	CCDS34014.1	CXCL9
3627	CXCL10	NP_001556.2	NM_001565	CCDS43240.1	CXCL10
6373	CXCL11	NP_005400.1	NM_005409	CCDS3574.1	CXCL11
53371	NUP54	NP_059122.2	NM_017426	CCDS3576.1	NUP54
950	SCARB2	NP_005497.1	NM_005506	CCDS3577.1	SCARB2
100129583	FAM47E	NP_001130042.1	NM_001136570	CCDS47081.1	FAM47E
